Copy & paste this to https://docs.google.com/spreadsheets/d/1MBkJpQ11hnyeUeAgQ9Ug5k5DTbx9nN0Citl8wPuM2Ss/edit#gid=0 	number of lines
2020/09/26	60
2020/10/11	120
2020/10/25	180
2020/12/11	240
2020/12/11	300
2020/12/11	322
2020/12/20	382
2020/12/20	386
2021/01/08	446
2021/01/08	506
2021/01/08	566
2021/01/10	626
2021/01/14	686
2021/01/15	708
2021/02/04	768
2021/02/07	828
2021/02/07	888
2021/02/07	901
2021/02/09	961
2021/03/21	1006
2021/03/25	1035
2021/04/11	1095
2021/06/06	1139
2021/07/11	1199
2021/08/15	1259
2021/08/18	1319
2021/09/01	1379
2021/09/22	1431
2021/09/24	1491
2021/09/27	1518
2021/09/29	1578
2021/10/04	1638
